lat,long,prev
-15.27855,32.12809,0
-25.95078,32.3356,25
-25.83233,32.34203,13.88888889
-25.34178,32.35649,14.89361702
-25.94245,32.44658,8.620689655
-25.82849,32.45118,6.976744186
-25.9005,32.45486,8.450704225
-25.96021,32.46145,25
-25.89751,32.46309,7.792207792
-25.92213,32.48148,7.936507937
-25.9197,32.51279,1.724137931
-25.86913,32.51672,7.575757576
-25.88617,32.52029,11.66666667
-25.84083,32.52975,16.32653061
-25.922742,32.538054,17.64705882
-14.75576,32.55757,2.739726027
-25.88937,32.55759,13.25301205
-25.93373,32.56352,18.96551724
-25.91721,32.56559,12.96296296
-25.86784,32.56589,19.79166667
-25.91096,32.56621,16.32653061
-25.95794,32.57301,10.71428571
-25.95778,32.57365,4.47761194
-25.978449,32.575482,0
-25.75355,32.57594,19.60784314
-25.91455,32.57646,11.84210526
-25.96441,32.57721,19.51219512
-25.94028,32.5792,21.34831461
-25.89276,32.58373,13.15789474
-25.94111,32.58571,17.64705882
-25.96219,32.58621,1.886792453
-25.93595,32.59649,17.14285714
-25.89495,32.59772,12.5
-25.96645,32.59904,9.756097561
-25.91787,32.60235,12.67605634
-25.90025,32.60385,15.49295775
-25.84687,32.60425,15.85365854
-25.8785,32.60685,11.84210526
-25.91824,32.60974,6.944444444
-25.87113,32.61192,12.32876712
-25.83434,32.6137,17.54385965
-25.92731,32.62154,9.803921569
-25.84985,32.62413,13.79310345
-20.66998,32.65032,0
-25.56963,32.66114,13.23529412
-25.21104,32.68339,11.11111111
-25.00605,32.68793,9.459459459
-15.61476,32.7558,17.39130435
-16.45748,32.77303,4.545454545
-25.32682,32.78757,14.28571429
-18.86697,32.78871,6.944444444
-14.90049,32.80217,0
-25.056,32.80487,13.1147541
-24.4033,32.82988,20.63492063
-25.10859,32.87526,20.3125
-15.7649,32.88364,6.557377049
-18.93863,32.88863,17.91044776
-24.4437,32.90173,12.67605634
-26.16241,32.92844,22.80701754
-24.53756,32.99144,10.29411765
-24.49577,33.00205,20.40816327
-20.18011,33.03789,28.94736842
-22.38519,33.11773,5
-25.00853,33.12728,26.31578947
-24.95846,33.1476,23.80952381
-18.04289,33.16698,12.6984127
-18.54589,33.20356,6.578947368
-18.23537,33.2621,13.04347826
-24.65286,33.26513,15.09433962
-19.39232,33.28395,7.594936709
-18.8106,33.31322,18.84057971
-24.92242,33.33369,25.86206897
-17.8044,33.33897,15.15151515
-19.01592,33.37193,10.20408163
-24.67312,33.43428,13.63636364
-19.11148,33.45692,12.35955056
-20.93791,33.45841,11.42857143
-19.04682,33.46531,7.246376812
-16.14675,33.47958,7.5
-19.14917,33.48028,14.75409836
-19.12482,33.48095,16.90140845
-19.11978,33.48443,34.14634146
-19.11478,33.48937,26.53061224
-24.9054,33.51291,16.36363636
-24.67485,33.53364,7.843137255
-24.98646,33.56299,26.31578947
-24.72134,33.56364,10.9375
-16.13311,33.59259,0
-19.39453,33.59573,1.298701299
-16.18891,33.5979,12.24489796
-15.22072,33.6242,0
-16.16151,33.62674,4.651162791
-25.03829,33.63552,14.28571429
-24.81936,33.64209,16.66666667
-19.07194,33.65428,8.571428571
-25.0813,33.66223,11.76470588
-25.04674,33.69517,14.75409836
-14.92921,33.71915,3.797468354
-24.91668,33.72236,13.04347826
-16.11535,33.72562,9.259259259
-19.75453,33.76684,6.666666667
-18.94879,33.76943,0
-20.38002,33.8016,11.45833333
-24.6631,33.8191,16.12903226
-16.97446,33.84687,5.357142857
-19.71726,33.87642,7.692307692
-24.96138,33.90167,9.302325581
-18.46509,34.01248,1.098901099
-14.56866,34.05545,1.923076923
-18.74783,34.13601,3.529411765
-15.86872,34.13883,1.724137931
-14.60589,34.17514,2.272727273
-24.84535,34.20715,4.166666667
-15.53746,34.26133,1.470588235
-21.81909,34.30734,9.375
-14.73414,34.35503,8.333333333
-14.49823,34.36089,8.955223881
-24.70762,34.37842,4.285714286
-14.58711,34.39146,12.76595745
-19.34911,34.39344,5.882352941
-23.09331,34.39744,8.43373494
-15.16012,34.41006,2.040816327
-19.19003,34.41544,2.105263158
-14.84583,34.47233,3.636363636
-19.85662,34.48123,11.57894737
-19.52476,34.62627,12.5
-18.00162,34.68124,0
-20.319209,34.688412,9.230769231
-19.63603,34.7341,12.12121212
-24.63233,34.75154,1.538461538
-21.04901,34.8146,20.77922078
-19.819938,34.838505,46.51162791
-19.78492,34.85391,9.433962264
-19.81518,34.85846,12.24489796
-19.74418,34.85868,7.692307692
-19.83897,34.8626,8
-13.41441,34.86402,8
-19.84022,34.86813,5.084745763
-19.79045,34.90885,15.15151515
-18.40772,35.01555,11.11111111
-17.44232,35.03484,10.58823529
-11.78726,35.04878,5.555555556
-24.23779,35.05434,1.449275362
-21.87015,35.05598,7.142857143
-21.65977,35.06481,16.12903226
-24.17622,35.15367,2
-23.82335,35.15588,2.127659574
-17.14103,35.16679,3.125
-23.86677,35.1879,1.666666667
-21.52945,35.20218,17.64705882
-23.48816,35.21532,3.636363636
-13.27044,35.23671,7.692307692
-22.95584,35.2427,5.263157895
-23.68145,35.24616,3.389830508
-13.28531,35.25032,1.666666667
-17.59914,35.25354,3.333333333
-13.29515,35.26728,10.9375
-23.8769,35.29047,9.677419355
-22.59461,35.29159,1.694915254
-13.2699,35.29313,0
-21.98257,35.31096,10.52631579
-23.17405,35.31827,9.090909091
-17.13675,35.32103,4.210526316
-23.86344,35.34186,9.589041096
-17.82024,35.34859,5.882352941
-23.82339,35.35186,18.86792453
-23.33041,35.36182,8.108108108
-23.84349,35.38604,6
-23.87092,35.39417,9.803921569
-13.89494,35.44548,0
-12.72587,35.44936,0
-13.62211,35.4629,0
-14.15601,35.55847,1.492537313
-14.292811,35.604671,0
-16.30937,35.6137,0
-14.36331,35.64806,3.296703297
-16.19341,35.73893,5.714285714
-17.65661,35.75581,4
-15.03814,35.87094,4.411764706
-15.38243,35.93253,0
-18.28853,35.94802,14.28571429
-18.65314,36.05485,0
-17.70854,36.28051,9.210526316
-15.327,36.39261,4.225352113
-14.82198,36.39462,0
-14.83855,36.39463,0
-14.79228,36.50805,5.357142857
-14.82534,36.53246,1.408450704
-15.14665,36.56185,0
-18.08562,36.71214,17.07317073
-15.76924,36.75676,4.109589041
-14.16302,36.78902,7.042253521
-15.24436,36.79727,0
-17.87618,36.89814,15.38461538
-17.83412,36.90751,12.5
-17.85481,36.92207,25.92592593
-16.94037,36.92616,3.846153846
-15.47236,36.98471,5.333333333
-16.64818,37.00326,3.174603175
-16.68177,37.01128,3.636363636
-15.42268,37.01176,3.278688525
-17.78501,37.05847,8.771929825
-16.65178,37.17026,2.247191011
-16.03041,37.17157,18.75
-17.58983,37.27161,36.73469388
-15.22598,37.35497,15.25423729
-14.15637,37.3614,0
-16.42099,37.42479,0
-15.73547,37.50297,1.408450704
-17.31602,37.51139,19.44444444
-17.19732,37.55737,8.333333333
-15.64205,37.67907,18.98734177
-13.10894,37.72866,1.754385965
-14.35849,37.87879,0
-17.29426,37.89888,10
-17.1283,38.14545,20.33898305
-16.26708,38.31084,6.493506494
-13.28052,38.66464,0
-13.55636,38.73435,0
-14.04102,38.76493,3.278688525
-13.93988,38.83057,1.470588235
-12.95616,38.84772,4.444444444
-13.12334,38.99188,11.76470588
-13.11099,38.99204,1.492537313
-14.16205,39.20871,0
-15.09319,39.2327,3.333333333
-15.10406,39.24862,10.34482759
-15.13401,39.26749,3.703703704
-15.1063,39.27278,10.20408163
-15.00556,39.32195,3.703703704
-15.07655,39.34042,2.777777778
-16.68732,39.37371,4.347826087
-12.91034,39.38509,6.060606061
-15.74254,39.42323,1.515151515
-15.82943,39.47433,0
-16.5303,39.52561,2.666666667
-14.66738,39.53535,0
-15.87717,39.59725,0
-13.9227,39.62973,5.882352941
-15.52287,39.63906,3.278688525
-13.08898,39.64478,12.28070175
-14.35774,39.64939,1.470588235
-16.08372,39.67892,0
-13.98126,39.67986,3.773584906
-16.34177,39.7352,2.53164557
-13.26561,39.76971,1.052631579
-13.36343,39.78039,9.523809524
-13.42345,39.79389,7.246376812
-12.97835,39.82917,1.515151515
-11.812,39.86456,23.07692308
-14.95616,39.87958,1.449275362
-11.58221,39.88591,5.084745763
-16.22093,39.89435,15.25423729
-13.31748,40.1198,6.349206349
-14.65515,40.16182,0
-14.9347,40.31701,7.407407407
-11.35352,40.34192,10.44776119
-13.11612,40.43074,6.451612903
-15.43076,40.45807,1.333333333
-14.48849,40.46986,0
-14.84724,40.47116,1.470588235
-10.73105,40.493419,2.702702703
-12.967592,40.498149,13.84615385
-13.02347,40.526292,16.41791045
-13.013104,40.52976,5.882352941
-14.43056,40.53885,3.658536585
-13.37494,40.55689,6.666666667
-12.41925,40.61385,6.896551724
-14.54411,40.62189,6.329113924
-14.53919,40.69896,2.857142857
